"","vector","value","options.bmat","options.n","options.which","options.nev","options.tol","options.ncv","options.ldv","options.ishift","options.maxiter","options.nb","options.mode","options.start","options.sigma","options.sigmai","options.info","options.iter","options.nconv","options.numop","options.numopb","options.numreo"
"Bruckner, Anton",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Bryant, Steven",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Buckley, Robert",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Bulla, Stephen",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Bullock, Jack",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Burns, Patrick",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Byrd, William",0.0892227794191204,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Cacavas, John",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Camphouse, Mark",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Carroll, Fergal",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Carter, Charles",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Carter, R. Alan",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Catel, Charles",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Cesarini, Franco",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Chabrier, Emmanuel",0.0892227794191204,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Chance, John Barnes",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Charpentier, Marc-Antoine",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Chattaway, Jay",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Chobanian, Loris",0.0572859917417192,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Cichy, Roger",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Clark, Larry",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Clark, Reber",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Colgrass, Michael",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Collins, Harrison J.",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Conaway, Matt",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Copland, Aaron",0.0892227794191204,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Creston, Paul",0.0892227794191204,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Crosby, Richard",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Cummings, Walter",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Curnow, James",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Custer, Calvin",0.0892227794191204,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"D'Albert, Eugen",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Daehn, Larry",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Dahl, Ingolf",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Danielpour, Richard",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Danner, Greg",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Danyew, Steve",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Daugherty, Michael",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Daughtrey, Nathan",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Davis, Albert O.",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Dawson, Jay",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"de Haan, Jacob",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"de Hann, Jan",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"de Meij, Johan",0.0892227794191204,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Debussy, Claude",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Del Borgo, Elliot",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Delibes, Léo",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Dello Joio, Norman",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Director, Scott",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Donizetti, Gaetano",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Dooley, Paul",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Doss, Thomas",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Downing, Joseph",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Duffy, Thomas",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Dukas, Paul",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Dvorak, Antonin",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Dzubay, David",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Edmondson, John",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Elgar, Edward",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Ellerby, Martin",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Erickson, Frank",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Fagan, Gary",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Fairlie, Edward",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Fannin, John",0.0604776458038043,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Farmer, George",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Faure, Gabriel",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
