composer,state,weight
"Hindemith, Paul",Kansas,4
"Hogg, Brian",Kansas,1
"Hokoyama, Wataru",Kansas,1
"Holmes, Paul",Kansas,1
"Holsinger, David",Kansas,21
"Holst, Gustav",Kansas,19
"Hovhaness, Alan",Kansas,1
"Howe, James",Kansas,1
"Huckeby, Ed",Kansas,18
"Huff, Will",Kansas,1
"Huffine, Getty Herschel",Kansas,1
"Hultgren, Ralph",Kansas,1
"Husa, Karel",Kansas,2
"Iannaccone, Anthony",Kansas,2
"Ireland, John",Kansas,1
"Ives, Charles",Kansas,4
"Jackson, Leroy",Kansas,1
"Jacob, Gordon",Kansas,8
"Jager, Robert",Kansas,13
"Jenkins, Darren",Kansas,1
"Jenkins, Joseph Willcox",Kansas,1
"Jennings, Paul",Kansas,1
"Jewell, Fred",Kansas,2
Johnson,Kansas,1
"Kabalevsky, Dmitri",Kansas,5
"Kalinnikov, Vasily",Kansas,1
"Karrick, Brant",Kansas,2
"King, Karl L.",Kansas,21
"Kinyon, John",Kansas,9
"Knox, Thomas",Kansas,1
"Kopetz, Barry E.",Kansas,1
"Kozhevnikov, Boris",Kansas,1
"LaPlante, Pierre",Kansas,8
"Latham, William",Kansas,4
"Lauridsen, Morten",Kansas,2
"Leemans, Pierre",Kansas,3
"Leidzén, Erik",Kansas,1
"Lindroth, Scott",Kansas,1
"Liszt, Franz",Kansas,1
Lithgow,Kansas,1
"Lo Presti, Ronald",Kansas,2
"Loest, Timothy",Kansas,1
"Longfield, Robert",Kansas,1
"Mackey, John",Kansas,6
"Mahoney, Shafer",Kansas,1
"Mahr, Timothy",Kansas,2
"Mailman, Martin",Kansas,3
"Makris, Andreas",Kansas,1
"Margolis, Bob",Kansas,6
"Markowski, Michael",Kansas,3
"Maslanka, David",Kansas,3
"Massenet, Jules",Kansas,1
"McBeth, W. Francis",Kansas,22
"McCarthy, D.",Kansas,1
"McGinty, Anne",Kansas,10
McMichael,Kansas,1
"Meacham, A.",Kansas,2
"Melillo, Stephen",Kansas,2
"Mendelssohn, Felix",Kansas,3
"Mennin, Peter",Kansas,1
"Milford, Gene",Kansas,1
"Milhaud, Darius",Kansas,1
"Missal, Jason",Kansas,1
"Mitchell, Rex",Kansas,2
"Moore, D.W.",Kansas,1
"Morales, Erik",Kansas,4
Mosier,Kansas,1
"Moss, John",Kansas,1
"Mozart, Wolfgang Amadeus",Kansas,11
"Mussorgsky, Modest",Kansas,4
"Neeck, Larry",Kansas,1
"Nelhybel, Vaclav",Kansas,11
"Nelson, Ron",Kansas,9
"Newman, Jonathan",Kansas,1
"Nishimura, Yukiko",Kansas,1
"Nixon, Roger",Kansas,4
"Nowak, Jerry",Kansas,1
"Nowlin, Ryan",Kansas,2
"O'Laughlin, Sean",Kansas,2
"O'Neil, Stuart",Kansas,3
"O'Reilly, John",Kansas,6
"Oare, Michael",Kansas,1
"Offenbach, Jacques",Kansas,5
"Orff, Carl",Kansas,1
"Osterling, Eric",Kansas,1
"Owens, William",Kansas,1
"Padilla, José",Kansas,1
"Palestrina, Giovanni",Kansas,1
Paloyoloyo,Kansas,1
Panella,Kansas,2
"Pearson, Bruce",Kansas,1
Pennington,Kansas,1
"Perrine, Aaron",Kansas,7
"Persichetti, Vincent",Kansas,13
"Pierne, Gabriel",Kansas,2
"Piston, Walter",Kansas,1
Planquette,Kansas,1
"Ployhar, James",Kansas,13
"Prokofiev, Sergey",Kansas,1
"Puccini, Giacomo",Kansas,1
"Purcell, Henry",Kansas,3
"Ravel, Maurice",Kansas,2
"Reed, Alfred",Kansas,23
"Reed, H. Owen",Kansas,1
Reeves,Kansas,1
"Reineke, Steven",Kansas,1
Reisteter,Kansas,1
"Respighi, Ottorino",Kansas,4
"Rhoads, William",Kansas,1
"Richards, J.J.",Kansas,1
"Riegger, Wallingford",Kansas,1
Rimmer,Kansas,1
"Rimsky-Korsakov, Nikolay",Kansas,3
"Romeyn, Robert",Kansas,1
"Root, G.",Kansas,1
"Root, Thomas",Kansas,1
"Rossini, Gioachino",Kansas,6
"Rudin, Rolf",Kansas,1
"Saint-Saëns, Camille",Kansas,3
San Miguel,Kansas,1
Sanders,Kansas,1
"Saucedo, Richard",Kansas,11
"Schoenberg, Arnold",Kansas,1
"Schubert, Franz",Kansas,1
"Schuman, William",Kansas,6
"Scriabin, Alexander",Kansas,1
Sellenick,Kansas,1
"Seward, Nancy",Kansas,3
"Shaffer, David",Kansas,2
"Sheldon, Robert",Kansas,27
"Shelton, Melvin",Kansas,1
"Shostakovich, Dmitri",Kansas,4
"Sibelius, Jean",Kansas,1
Skovnicka,Kansas,1
"Smith, Claude T.",Kansas,36
"Smith, Robert W.",Kansas,21
"Sousa, John Philip",Kansas,23
"Spaniola, Joseph",Kansas,1
"Spears, Jared",Kansas,11
"Spinney, Charles",Kansas,1
"Spittal, Robert",Kansas,1
"Stalter, Todd",Kansas,5
"Stamp, Jack",Kansas,13
"Standridge, Randall D.",Kansas,2
"Starer, Robert",Kansas,1
"Stevens, John",Kansas,1
Stone,Kansas,1
"Story, Michael",Kansas,1
"Strauss, Johann",Kansas,9
"Stravinsky, Igor",Kansas,3
"Strommen, Carl",Kansas,2
"Stuart, Hugh M.",Kansas,5
"Sudduth, James",Kansas,3
"Sullivan, Arthur",Kansas,1
"Susato, Tielman",Kansas,1
"Suter, Anthony",Kansas,1
"Swearingen, James",Kansas,32
"Sweeney, Michael",Kansas,11
"Tatgenhorst, John",Kansas,4
"Tchaikovsky, Peter Ilich",Kansas,11
Tcherepnin,Kansas,1
"Teike, Carl",Kansas,2
"Telemann, Georg Philipp",Kansas,1
"Texidor, Jaime",Kansas,2
"Thomas, Ambroise",Kansas,1
"Thompson, Virgil",Kansas,1
"Ticheli, Frank",Kansas,27
traditional,Kansas,3
"Tschesnokoff, Pavel",Kansas,2
"Tull, Fisher",Kansas,7
"Van der Roost, Jan",Kansas,8
"Vaughan Williams, Ralph",Kansas,8
"Verdi, Giuseppe",Kansas,5
"Vinson, Johnny",Kansas,7
"von Suppé, Franz",Kansas,6
"Wada, Naoya",Kansas,1
Wagner,Kansas,1
"Wagner, Josef Franz",Kansas,1
"Wagner, Richard",Kansas,13
"Walczyk, Kevin",Kansas,10
"Walton, William",Kansas,1
"Ward, Norman",Kansas,1
"Warlock, Peter",Kansas,1
"Washburn, Robert",Kansas,2
Weber,Kansas,1
"Weinberger, Jaromír",Kansas,1
"Whear, Paul",Kansas,3
"Whitacre, Eric",Kansas,7
"White, Donald",Kansas,2
"Whitney, Maurice",Kansas,1
Wichers,Kansas,1
"Wiley, Charles A.",Kansas,1
Williams,Kansas,9
"Williams, Clifton",Kansas,2
"Williams, Mark",Kansas,1
Wilson,Kansas,2
"Wilson, Dana",Kansas,1
"Wood, Haydn",Kansas,2
"Woolfenden, Guy",Kansas,2
"Yagisawa, Satoshi",Kansas,1
"Yamada, Kōsaku",Kansas,1
"Yurko, Bruce",Kansas,2
"Zaninelli, Luigi",Kansas,2
"Zare, Roger",Kansas,1
"Zdechlik, John",Kansas,8
"Ziek, Gary",Kansas,2
"Adams, John",Mississippi,1
"Akers, H.E.",Mississippi,1
"Akey, Douglas",Mississippi,1
"Alberty, Craig",Mississippi,1
"Allen, Fred J.",Mississippi,3
"Arbeau, Thoinot",Mississippi,1
"Arnold, Malcolm",Mississippi,1
"Ayers, Jesse",Mississippi,1
"Bach, J.S.",Mississippi,20
"Balent, Andrew",Mississippi,3
"Balmages, Brian",Mississippi,25
"Banchieri, A.",Mississippi,1
"Barber, Samuel",Mississippi,1
"Barker, Warren",Mississippi,2
"Barnes, James",Mississippi,5
"Barrett, Roland",Mississippi,1
"Bartok, Bela",Mississippi,1
"Bassett, Leslie",Mississippi,1
"Beck, Brian",Mississippi,1
"Beckel, James",Mississippi,1
"Beethoven, Ludwig van",Mississippi,6
"Behrman, Tracy",Mississippi,1
"Bennett, Robert Russell",Mississippi,1
"Benson, Warren",Mississippi,2
"Berlioz, Hector",Mississippi,3
"Bernstein, Leonard",Mississippi,6
"Biebl, Franz",Mississippi,1
"Bizet, Georges",Mississippi,4
"Black, Dave",Mississippi,1
"Bliss, John",Mississippi,1
"Bobrowitz, David",Mississippi,2
"Bocook, Jay",Mississippi,1
"Borodin, Alexander",Mississippi,1
"Boysen, Andrew",Mississippi,2
"Bradley, D.",Mississippi,1
"Brahms, Johannes",Mississippi,4
"Bremer, Carolyn",Mississippi,1
"Broege, Timothy",Mississippi,1
"Brooks, B.J.",Mississippi,1
"Brubaker, Jerry",Mississippi,1
"Bruckner, Anton",Mississippi,2
"Bryant, Steven",Mississippi,1
"Buckley, Robert",Mississippi,1
"Bulla, Stephen",Mississippi,2
"Bullock, Jack",Mississippi,1
Butterfield,Mississippi,2
"Byrd, William",Mississippi,1
"Cacavas, John",Mississippi,1
"Calhoun, Bill",Mississippi,1
"Camphouse, Mark",Mississippi,3
"Carter, Charles",Mississippi,4
"Catel, Charles-Simon",Mississippi,1
"Caudill, Jim",Mississippi,1
"Chance, John Barnes",Mississippi,2
"Chobanian, Loris",Mississippi,2
"Cichy, Roger",Mississippi,1
"Clark, Larry",Mississippi,6
"Clark, Reber",Mississippi,1
"Clarke, H.L.",Mississippi,1
"Connor, M.J.",Mississippi,1
"Copland, Aaron",Mississippi,3
"Corelli, Arcangelo",Mississippi,1
"Couperin, François",Mississippi,1
"Cramer, Ray",Mississippi,1
"Creston, Paul",Mississippi,1
"Cross, Travis",Mississippi,1
"Curnow, James",Mississippi,8
"Daehn, Larry",Mississippi,2
"Dahl, Ingolf",Mississippi,1
"Daniels, M.L.",Mississippi,2
"Danner, Greg",Mississippi,1
"Daugherty, Michael",Mississippi,1
"Davids, Brent Michael",Mississippi,1
"Davis, Albert O.",Mississippi,1
"Debussy, Claude",Mississippi,1
"del Borgo, Elliot",Mississippi,16
"Delibes, Léo",Mississippi,1
"Dello Joio, Norman",Mississippi,3
"Director, Scott",Mississippi,1
"Donizetti, Gaetano",Mississippi,1
"Doss, Thomas",Mississippi,1
"Downing, Joseph",Mississippi,1
"Duncombe, William",Mississippi,1
"Dvorak, Antonin",Mississippi,6
"Earl, Christian",Mississippi,1
"Edmondson, John",Mississippi,7
"Elgar, Edward",Mississippi,1
"Erbe, Mickey",Mississippi,1
"Erickson, Frank",Mississippi,8
"Eveland, Dennis",Mississippi,1
"Fabrizio, Corky",Mississippi,1
"Fagan, Gary",Mississippi,2
"Fannin, John",Mississippi,1
"Farmer, George",Mississippi,1
"Feld, Jindřich",Mississippi,1
"Feldstein, Sandy",Mississippi,4
"Fhiaras, Greg",Mississippi,1
"Ford, Ralph",Mississippi,1
"Foster, Robert E.",Mississippi,1
"Fox, Earl",Mississippi,1
"Fraley, Ryan",Mississippi,1
"Franck, Cesar",Mississippi,2
"Frank, M.",Mississippi,1
"Fry, Tommy J.",Mississippi,2
"Gabrieli, Giovanni",Mississippi,1
"Galbraith, Nancy",Mississippi,1
"Gandolfi, Michael",Mississippi,1
"George, Tom Ritter",Mississippi,1
"Gillingham, David",Mississippi,5
"Gillis, Don",Mississippi,1
"Giovannini, Caesar",Mississippi,1
"Giroux, Julie",Mississippi,8
"Gluck, Christoph",Mississippi,1
"Golemo, Michael",Mississippi,1
"Gordon, Philip",Mississippi,1
"Gorham, David",Mississippi,3
"Gossec, Francois-Joseph",Mississippi,1
"Gould, Morton",Mississippi,3
"Graham, Peter",Mississippi,1
"Grainger, Percy",Mississippi,10
"Granados, E.",Mississippi,1
"Grantham, Donald",Mississippi,3
"Greene, Joni",Mississippi,1
"Gregson, Edward",Mississippi,1
"Grice, Rob",Mississippi,2
"Grieg, Edvard",Mississippi,3
"Grundman, Clare",Mississippi,9
"Halvorsen, Johan",Mississippi,1
"Handel, George Frideric",Mississippi,5
"Hanson, Howard",Mississippi,2
"Hanson, Shelley",Mississippi,1
"Harbinson, William G.",Mississippi,1
"Harbison, John",Mississippi,1
"Hart, Paul",Mississippi,1
"Hattori, Koh-ichi",Mississippi,1
"Hazo, Samuel",Mississippi,7
"Hearshen, Ira",Mississippi,1
"Hellmesberger, Joseph",Mississippi,1
"Higgins, John",Mississippi,2
"Hill, Donald",Mississippi,1
"Hilliard, Quincy",Mississippi,3
"Himes, William",Mississippi,5
"Hindemith, Paul",Mississippi,2
"Hodges, Steve",Mississippi,2
"Hogg, Brian",Mississippi,1
"Holmes, Paul",Mississippi,1
"Holsinger, David",Mississippi,9
"Holst, Gustav",Mississippi,7
"Hosay, James L.",Mississippi,2
"Huckeby, Ed",Mississippi,3
"Hull, Grant",Mississippi,1
"Husa, Karel",Mississippi,1
"Hutchinson, Warner",Mississippi,1
"Hylkilä, Ilari",Mississippi,1
"Isaac, H.",Mississippi,1
"Israel, Brian",Mississippi,1
"Jacob, Gordon",Mississippi,4
"Jager, Robert",Mississippi,6
"Jenkins, Darren",Mississippi,2
"Jennings, Paul",Mississippi,2
"Jones, Douglas",Mississippi,1
"Kabalevsky, Dmitri",Mississippi,1
"Karrick, Brant",Mississippi,2
"Kiefer, Ed",Mississippi,1
"Kinyon, John",Mississippi,7
"Kirby, Rick",Mississippi,1
"Kistler, Cyrill",Mississippi,1
"Knox, Thomas",Mississippi,1
"Kopetz, Barry E.",Mississippi,4
"Kreines, Joseph",Mississippi,1
"Larsen, Libby",Mississippi,1
"Lopez, Victor",Mississippi,1
"Mashima, T.",Mississippi,1
"McGinty, Anne",Mississippi,20
"McTee, Cindy",Mississippi,2
"Morales, Erik",Mississippi,3
"Nishimura, Yukiko",Mississippi,1
"Owens, William",Mississippi,5
"Pierne, Gabriel",Mississippi,1
"Praetorius, Michael",Mississippi,1
"Saucedo, Richard",Mississippi,7
"Shabazz, Ayatey",Mississippi,3
"Tatebe, Tomohiro",Mississippi,1
"Texidor, Jaime",Mississippi,1
"Tucci, Terig",Mississippi,1
"Villa-Lobos, Heitor",Mississippi,1
"Wada, Naoya",Mississippi,1
"Yagisawa, Satoshi",Mississippi,1
"Yeo, Benjamin",Mississippi,1
"Aitken, H.",Nebraska,1
"Akers, H.E.",Nebraska,1
"Akey, Douglas",Nebraska,1
"Allen, Fred J.",Nebraska,1
"Anderson, Leroy",Nebraska,1
"Andrews, James",Nebraska,1
"Arbeau, Thoinot",Nebraska,1
"Arnold, Malcolm",Nebraska,2
"Bach, J.S.",Nebraska,16
"Balmages, Brian",Nebraska,9
"Baltzer, Sam",Nebraska,1
"Barber, Samuel",Nebraska,2
"Barker, Warren",Nebraska,3
"Barnes, James",Nebraska,7
"Barrett, Roland",Nebraska,5
"Bartok, Bela",Nebraska,3
"Basler, Paul",Nebraska,1
"Bassett, Leslie",Nebraska,1
"Beck, Brian",Nebraska,1
"Beethoven, Ludwig van",Nebraska,5
"Bellini, Vincenzo",Nebraska,1
"Bennett, Robert Russell",Nebraska,1
"Berlioz, Hector",Nebraska,2
"Bernotas, Chris",Nebraska,1
"Bernstein, Leonard",Nebraska,3
"Bilik, Jerry",Nebraska,3
"Bizet, Georges",Nebraska,1
"Black, Dave",Nebraska,1
"Bobrowitz, David",Nebraska,1
"Bocook, Jay",Nebraska,2
"Bohm, Carl",Nebraska,1
"Borodin, Alexander",Nebraska,1
"Bradbury, W.",Nebraska,1
"Brahms, Johannes",Nebraska,2
"Broege, Timothy",Nebraska,4
"Broughton, Bruce",Nebraska,1
"Bruckner, Anton",Nebraska,1
"Bryant, Steven",Nebraska,1
"Buckley, Robert",Nebraska,1
"Bulla, Stephen",Nebraska,1
"Butts, Carrol",Nebraska,1
"Byrd, William",Nebraska,3
"Cacavas, John",Nebraska,2
"Camphouse, Mark",Nebraska,8
"Carter, Charles",Nebraska,5
"Caruso, John",Nebraska,1
"Catel, Charles-Simon",Nebraska,1
"Cesarini, Franco",Nebraska,2
"Chabrier, Emmanuel",Nebraska,2
"Chance, John Barnes",Nebraska,3
"Chattaway, Jay",Nebraska,1
"Chisman, Daniel",Nebraska,1
"Ciechomski, Brad",Nebraska,1
"Clark, Larry",Nebraska,3
"Coakley, Donald",Nebraska,1
"Colgrass, Michael",Nebraska,1
"Compello, Joseph",Nebraska,1
"Conaway, Matt",Nebraska,3
"Connery, Brian",Nebraska,1
"Constantino, Joseph",Nebraska,1
"Cook, Paul",Nebraska,1
"Copland, Aaron",Nebraska,5
"Corelli, Arcangelo",Nebraska,1
"Court, Douglas",Nebraska,1
"Creston, Paul",Nebraska,1
"Cross, Travis",Nebraska,1
"Cummings, Walter",Nebraska,1
"Cuong, Viet",Nebraska,1
"Curnow, James",Nebraska,12
"Curnow, Joseph",Nebraska,2
"Custer, Calvin",Nebraska,2
"Daehn, Larry",Nebraska,2
"Dahl, Ingolf",Nebraska,1
"Daquin, L.C.",Nebraska,1
"Daugherty, Michael",Nebraska,1
"Davis, Albert O.",Nebraska,2
"de Haan, Jacob",Nebraska,3
"de Meij, Johan",Nebraska,1
"del Borgo, Elliot",Nebraska,10
"Dello Joio, Norman",Nebraska,2
"Diamond, David",Nebraska,1
"Dishinger, Ronald",Nebraska,1
"Donze, Chris",Nebraska,1
"Duncombe, William",Nebraska,1
"Dvorak, Antonin",Nebraska,1
"Dzubay, David",Nebraska,1
"Edmondson, John",Nebraska,6
"Elgar, Edward",Nebraska,2
"Ellerby, Martin",Nebraska,1
"Erb, Donald",Nebraska,1
"Erickson, Frank",Nebraska,4
"Fagan, Gary",Nebraska,3
"Fannin, John",Nebraska,1
"Farmer, George",Nebraska,1
"Faure, Gabriel",Nebraska,1
"Feldstein, Sandy",Nebraska,2
"Finlayson, Walter",Nebraska,1
"Finney, Ross Lee",Nebraska,1
"Ford, Ralph",Nebraska,1
"Forrest, Dan",Nebraska,1
"Forsblad, Leland",Nebraska,1
"Forte, A.R.",Nebraska,1
"Foster, Robert E.",Nebraska,2
"Frescobaldi, Girolamo",Nebraska,1
"Fry, Tommy J.",Nebraska,1
"Galante, Rossano",Nebraska,1
"Gandolfi, Michael",Nebraska,1
"Giannini, Vittorino",Nebraska,1
"Gibson, John Wesley",Nebraska,1
"Gillingham, David",Nebraska,1
"Gillis, Don",Nebraska,1
"Giovannini, Caesar",Nebraska,1
"Giroux, Julie",Nebraska,6
"Glinka, Mikhail",Nebraska,1
"Gorb, Adam",Nebraska,1
"Gordon, Philip",Nebraska,1
"Gorham, David",Nebraska,3
"Gossec, Francois-Joseph",Nebraska,1
"Goto, Yo",Nebraska,1
"Gould, Morton",Nebraska,4
"Gounod, Charles",Nebraska,1
"Grady, M.",Nebraska,1
"Graham, Peter",Nebraska,1
"Grainger, Percy",Nebraska,3
"Grant, Tyler S.",Nebraska,2
"Grantham, Donald",Nebraska,3
"Gregson, Edward",Nebraska,1
"Grice, Rob",Nebraska,1
"Griffes, Charles",Nebraska,1
"Grundman, Clare",Nebraska,9
"Handel, George Frideric",Nebraska,2
"Hanson, Howard",Nebraska,3
"Hanson, Shelley",Nebraska,1
"Harbinson, William G.",Nebraska,1
"Hartley, Walter",Nebraska,1
"Haydn, Franz Joseph",Nebraska,1
"Hazo, Samuel",Nebraska,1
"Hearshen, Ira",Nebraska,2
"Hermann, Ralph",Nebraska,2
"Higgins, John",Nebraska,1
"Hildreth, R.",Nebraska,1
"Hilliard, Quincy",Nebraska,3
"Hillis, G.",Nebraska,1
"Himes, William",Nebraska,1
"Hindemith, Paul",Nebraska,2
"Hodges, Steve",Nebraska,3
"Holsinger, David",Nebraska,6
"Holst, Gustav",Nebraska,12
"Hosay, James L.",Nebraska,2
"Houllif, Murray",Nebraska,1
"Hovhaness, Alan",Nebraska,1
"Huckeby, Ed",Nebraska,4
"Hull, Grant",Nebraska,1
"Humperdinck, Englebert",Nebraska,1
"Hunsberger, Donald",Nebraska,1
"Husa, Karel",Nebraska,3
"Ito, Yasuhide",Nebraska,1
"Ives, Charles",Nebraska,1
"Jacob, Gordon",Nebraska,2
"Jager, Robert",Nebraska,3
"Jenkins, Joseph Willcox",Nebraska,2
"Jennings, Paul",Nebraska,2
"Jewell, Fred",Nebraska,1
"Johnson, Timothy",Nebraska,1
"Kalinnikov, Vasily",Nebraska,1
"Kallman, Daniel",Nebraska,1
"Karrick, Brant",Nebraska,2
"King, Karl L.",Nebraska,1
"Kinyon, John",Nebraska,6
"Kopetz, Barry E.",Nebraska,1
"Krenek, Ernst",Nebraska,1
"McGinty, Anne",Nebraska,19
"McTee, Cindy",Nebraska,1
"Mier, Shirley",Nebraska,1
"Milburn, Dwayne S.",Nebraska,1
"Owens, William",Nebraska,5
"Saucedo, Richard",Nebraska,6
"Suzuki, Eiji",Nebraska,1
traditional,Nebraska,1
"Yagisawa, Satoshi",Nebraska,1
"Adams, John",New York,1
"Ades, Hawley",New York,1
"Akers, H.E.",New York,1
"Akey, Douglas",New York,8
"Anderson, Leroy",New York,1
"Andrews, James",New York,1
"Applebaum, Stan",New York,1
"Arbeau, Thoinot",New York,1
"Arcari, Tyler",New York,1
"Arnold, Malcolm",New York,5
"Arnon, R.",New York,1
"Bach, J.S.",New York,19
"Balmages, Brian",New York,10
"Barber, Samuel",New York,1
"Barker, Warren",New York,2
"Barnes, James",New York,8
"Barnett, Carol",New York,1
"Bartok, Bela",New York,2
"Basler, Paul",New York,1
"Bennett, Richard Rodney",New York,1
"Benson, Warren",New York,2
"Berlioz, Hector",New York,2
"Bernstein, Leonard",New York,3
"Biebl, Franz",New York,2
"Birch, Raymond",New York,1
"Bizet, Georges",New York,1
"Black, Dave",New York,1
"Bobrowitz, David",New York,4
"Bocook, Jay",New York,3
"Borodin, Alexander",New York,1
"Boss, Andrew",New York,1
"Boyce, William",New York,1
"Boyd, John",New York,1
"Boysen, Andrew",New York,1
"Brahms, Johannes",New York,2
"Branchfield, A.",New York,1
"Bremer, Carolyn",New York,1
Brings,New York,1
Brisman,New York,1
"Broege, Timothy",New York,4
"Bulla, Stephen",New York,2
"Bullock, Jack",New York,1
"Burns, Patrick",New York,2
"Campbell, W.",New York,1
"Camphouse, Mark",New York,2
Cardona,New York,1
"Carroll, Fergal",New York,1
"Carter, Charles",New York,3
"Chance, John Barnes",New York,4
"Cheetham, John",New York,1
"Chobanian, Loris",New York,1
"Cichy, Roger",New York,1
"Clark, Larry",New York,7
"Clarke, Jeremiah",New York,1
"Coakley, R.",New York,1
"Conaway, Matt",New York,2
"Conley, Lloyd",New York,1
"Copland, Aaron",New York,2
"Corigliano, John",New York,1
"Cox, M.",New York,1
"Cross, Travis",New York,2
"Curnow, James",New York,4
"Curnow, Joseph",New York,1
"Daehn, Larry",New York,3
"Danner, Greg",New York,1
"Daugherty, Michael",New York,1
"Davis, Albert O.",New York,1
"de Cabezon, A.",New York,1
"de Haan, Jacob",New York,2
"Debussy, Claude",New York,1
"del Borgo, Elliot",New York,8
"Delibes, Léo",New York,1
"Dello Joio, Norman",New York,3
"Dietz, Brett William",New York,1
"Downing, Joseph",New York,1
"Duble, Charles E.",New York,1
"Duncombe, William",New York,1
"Dvorak, Antonin",New York,2
"Edmondson, John",New York,10
"Elgar, Edward",New York,2
"Erickson, Frank",New York,8
"Fagan, Gary",New York,2
"Fairlie, Edward",New York,1
"Fannin, John",New York,1
"Feldstein, Sandy",New York,2
"Fenske, Katheryn",New York,1
"Forsblad, Leland",New York,3
"Foster, Robert E.",New York,1
"Frackenpohl, Arthur",New York,1
"Fukuda, Yosuke",New York,1
"Gabrieli, Giovanni",New York,1
"Gazlay, Gary",New York,1
"Gershwin, George",New York,1
"Giannini, Vittorino",New York,3
"Gilbert, Jay",New York,1
"Gillingham, David",New York,4
"Giovannini, Caesar",New York,4
"Giroux, Julie",New York,6
"Glinka, Mikhail",New York,1
"Golemo, Michael",New York,1
"Gomez, Antonio Carlos",New York,1
"Gorb, Adam",New York,1
"Gordon, Philip",New York,4
"Gorham, David",New York,2
"Gould, Morton",New York,5
"Gounod, Charles",New York,1
"Graham, Peter",New York,1
"Grainger, Percy",New York,10
"Grant, Tyler S.",New York,1
"Grantham, Donald",New York,3
Gretchaninov,New York,1
"Grice, Rob",New York,6
"Grieg, Edvard",New York,2
"Gross, Charles",New York,1
"Grundman, Clare",New York,5
"Guilmant, Félix Alexandre",New York,1
"Handel, George Frideric",New York,3
"Hanson, Howard",New York,2
"Hanssen, Johannes",New York,1
"Hart, Paul",New York,1
"Hartley, Walter",New York,2
"Haydn, Franz Joseph",New York,4
"Hazo, Samuel",New York,5
"Hearshen, Ira",New York,5
"Hérold, Ferdinand",New York,1
"Hilliard, Quincy",New York,3
"Himes, William",New York,2
"Hindemith, Paul",New York,1
"Hodges, Steve",New York,2
"Hogg, Brian",New York,1
"Holmquist, Carl",New York,1
"Holsinger, David",New York,8
"Holst, Gustav",New York,3
"Hosay, James L.",New York,1
"Hoshina, Hiroshi",New York,1
"Hubbell, F.",New York,1
"Huckeby, Ed",New York,8
"Hull, Grant",New York,1
"Humperdinck, Englebert",New York,1
"Husa, Karel",New York,1
"Ito, Yasuhide",New York,1
"Ives, Charles",New York,1
"Jacob, Gordon",New York,4
"Jager, Robert",New York,3
"Jedwabnik, Michael",New York,1
"Jennings, Paul",New York,1
"Jewell, Fred",New York,1
"Jordan, Jeff",New York,1
"Kabalevsky, Dmitri",New York,2
"Kallman, Daniel",New York,1
"Kaneda, Bin",New York,1
"Karrick, Brant",New York,2
"Keen, Marta",New York,1
"Kiefer, Ed",New York,1
"Kinyon, John",New York,6
"Knox, Thomas",New York,1
"Kopetz, Barry E.",New York,5
"Kozhevnikov, Boris",New York,1
"León, Tania",New York,1
"Lopez, Victor",New York,1
"McGinty, Anne",New York,17
"Morales, Erik",New York,3
"Nishimura, Yukiko",New York,2
"Owens, William",New York,1
"Saucedo, Richard",New York,5
"Shabazz, Ayatey",New York,2
"Smith, Sarah A.",New York,1
"Surinach, C.",New York,1
"Wada, Naoya",New York,2
"Yeo, Benjamin",New York,1
"Adams, John",California,1
"Adler, Samuel",California,1
"Agay, Denes",California,1
"Aitken, H.",California,2
"Akers, H.E.",California,8
"Akey, Douglas",California,3
"Albéniz, Isaac",California,2
"Alberty, Craig",California,1
"Allen, Fred J.",California,7
"Anderson, Leroy",California,2
"Andrews, James",California,4
"Andrieu, Fernand",California,1
"Applebaum, Stan",California,1
"Araque, Luis",California,2
"Arbeau, Thoinot",California,1
"Arcadelt, Jacob",California,2
"Arcari, Tyler",California,1
"Arnold, Malcolm",California,14
"Ashe, F.",California,1
"Bach, J.S.",California,72
"Bach, W.F.",California,1
"Badings, Henk",California,1
"Bain, J.",California,1
"Balay, Guillaume",California,1
"Balent, Andrew",California,13
"Ballard, Louis",California,1
"Balmages, Brian",California,28
"Barber, Samuel",California,5
"Barker, Warren",California,7
Barnby. Joseph,California,1
"Barnes, James",California,23
"Barr, Robert",California,1
"Barrett, Roland",California,8
Bartles. Alfred,California,1
"Bartok, Bela",California,15
"Barton, Stephen",California,3
"Baskerville, David",California,1
"Basler, Paul",California,1
"Bassett, Leslie",California,2
"Bauwens, Jan",California,1
"Beck, Brian",California,4
"Bedford, D.",California,1
"Beethoven, Ludwig van",California,24
"Beghon, Jean Baptiste",California,1
"Bencriscutto, Frank",California,1
"Bennett, Richard Rodney",California,2
"Bennett, Robert Russell",California,2
"Benson, Warren",California,5
"Bergen, Norman",California,1
"Berlioz, Hector",California,8
"Bernotas, Chris",California,3
"Bernstein, Leonard",California,9
"Beyer, Fredrick",California,1
"Biebl, Franz",California,1
"Bilik, Jerry",California,5
"Billings, William",California,1
"Binge, Ronald",California,1
"Bizet, Georges",California,7
"Black, Dave",California,3
"Blackshaw, Jodie",California,1
"Bobrowitz, David",California,3
"Bocook, Jay",California,6
"Boerma, Scott",California,1
"Bohm, Carl",California,1
"Bolcom, William",California,1
"Borodin, Alexander",California,4
"Bottje, Will Gay",California,1
"Bourgeois, Derek",California,2
"Boyce, William",California,1
"Boyer, Louis",California,1
"Boysen, Andrew",California,5
