Orch,Comp,Weight,Comp.Gen
Arkansas Symphony Orchestra,"Shostakovich, Dmitri",1,1
Arkansas Symphony Orchestra,"Stravinsky, Igor",1,1
Arkansas Symphony Orchestra,"Tchaikovsky, Peter Ilich",2,1
Asheville,"Bach, J.S.",1,1
Asheville,"Beethoven, Ludwig van",2,1
Asheville,"Brahms, Johannes",1,1
Asheville,"Cook, Will Marion",1,3
Asheville,"Copland, Aaron",1,1
Asheville,"Dvořák, Antonín",1,1
Asheville,"Elgar, Edward",1,1
Asheville,"Gershwin, George",1,1
Asheville,"Mozart, Wolfgang Amadeus",2,1
Asheville,"Prokofiev, Sergey",1,1
Asheville,"Saint-Saëns, Camille",1,1
Asheville,"Sibelius, Jean",2,1
Asheville,"Still, William Grant",1,3
Asheville,"Stravinsky, Igor",1,1
Asheville,"Tchaikovsky, Peter Ilich",1,1
Asheville,"Tower, Joan",1,2
Asheville,"Wallen, Errollyn",1,4
Atlanta Symphony Orchestra,"Adams, John",1,1
Atlanta Symphony Orchestra,"Auznieks, Krists",1,1
Atlanta Symphony Orchestra,"Beethoven, Ludwig van",4,1
Atlanta Symphony Orchestra,"Boulanger, Lili",1,2
Atlanta Symphony Orchestra,"Brahms, Johannes",2,1
Atlanta Symphony Orchestra,"Bruch, Max",2,1
Atlanta Symphony Orchestra,"Buller, Mark",1,1
Atlanta Symphony Orchestra,"Clyne, Anna",1,2
Atlanta Symphony Orchestra,"Copland, Aaron",2,1
Atlanta Symphony Orchestra,"Debussy, Claude",2,1
Atlanta Symphony Orchestra,"Duruflé, Maurice",1,1
Atlanta Symphony Orchestra,"Dvořák, Antonín",2,1
Atlanta Symphony Orchestra,"Elgar, Edward",1,1
Atlanta Symphony Orchestra,"Eötvös, Melody",1,2
Atlanta Symphony Orchestra,"Foley, Xavier",1,3
Atlanta Symphony Orchestra,"Gandolfi, Michael",1,1
Atlanta Symphony Orchestra,"Gibson, Sarah",1,2
Atlanta Symphony Orchestra,"Golijov, Osvaldo",1,3
Atlanta Symphony Orchestra,"Grieg, Edvard",1,1
Atlanta Symphony Orchestra,"Handel, George Frideric",2,1
Atlanta Symphony Orchestra,"Haydn, Franz Joseph",1,1
Atlanta Symphony Orchestra,"Higdon, Jennifer",1,2
Atlanta Symphony Orchestra,"Humperdinck, Engelbert",1,1
Atlanta Symphony Orchestra,"Kurth, Michael",1,1
Atlanta Symphony Orchestra,"Lee III, James",1,3
Atlanta Symphony Orchestra,"Mahler, Gustav",2,1
Atlanta Symphony Orchestra,"Marcello, Benedetto",1,1
Atlanta Symphony Orchestra,"Mazzoli, Missy",1,2
Atlanta Symphony Orchestra,"Mendelssohn, Felix",1,1
Atlanta Symphony Orchestra,"Montgomery, Jessie",1,4
Atlanta Symphony Orchestra,"Mozart, Wolfgang Amadeus",4,1
Atlanta Symphony Orchestra,"Nabors, Brian Raphael",1,3
Atlanta Symphony Orchestra,"Piazzolla, Astor",1,3
Atlanta Symphony Orchestra,"Price, Florence",1,4
Atlanta Symphony Orchestra,"Rachmaninoff, Sergei",1,1
Atlanta Symphony Orchestra,"Rameau, Jean-Philippe",1,1
Atlanta Symphony Orchestra,"Ravel, Maurice",1,1
Atlanta Symphony Orchestra,"Rimsky-Korsakov, Nikolay",1,1
Atlanta Symphony Orchestra,"Saint-Saëns, Camille",1,1
Atlanta Symphony Orchestra,"Schoenberg, Adam",1,1
Atlanta Symphony Orchestra,"Schubert, Franz",2,1
Atlanta Symphony Orchestra,"Schumann, Robert",1,1
Atlanta Symphony Orchestra,"Shostakovich, Dmitri",1,1
Atlanta Symphony Orchestra,"Sibelius, Jean",1,1
